Urea,Melamine,Dcda,PM(g),Time(h),Heat(℃),HR(℃/min),element1,element2,hata,modefiy,dope,ratio(%),load(g),area(cm2),NO(ppm),rate(mL/min),Xe,Wu,LED,Intensity(W),BET(m2/g),Eg(eV),NO2(%),NO(%)
1,0,0,17.90665911,2,500,5,I,BiOIO3,1,0,0,66.67,0.1,80,0.6,1200,1,0,0,300,69.40264093,2.725401229,25.26039964,52
1,0,0,24.58997503,2,500,5,I,BiOIO3,1,0,0,100,0.1,80,0.6,1200,1,0,0,300,79.1278752,2.726756018,21.96156044,49
1,0,0,9.972627649,4,550,2.5,,,0,0,0,0,0.1,113.1,0.6,1200,1,0,0,300,108.27,2.95,19.92077348,34.2
1,0,0,9.967441485,4,550,2.5,Fe2O3,,1,0,0,1,0.1,113.1,0.6,1200,1,0,0,300,80.50661298,2.792405981,24.99226231,40.8
1,0,0,9.945623994,4,550,2.5,Fe2O3,,1,0,0,3,0.1,113.1,0.6,1200,1,0,0,300,53.64039755,2.635336942,24.97457252,47
1,0,0,9.934466474,4,550,2.5,Fe2O3,,1,0,0,5,0.1,113.1,0.6,1200,1,0,0,300,59.29850844,2.629355338,24.93894301,53.7
1,0,0,9.950170143,4,550,2.5,Fe2O3,,1,0,0,7,0.1,113.1,0.6,1200,1,0,0,300,67.5,2.648545301,22.54747454,60.8
1,0,0,9.970831913,4,550,2.5,Fe2O3,,1,0,0,9,0.1,113.1,0.6,1200,1,0,0,300,64.33912368,2.640479113,24.56600215,50.8
0,0,1,10.19100418,4,550,5,,,0,0,0,0,0.05,16,0.6,1200,1,0,0,300,33.12745953,2.606796802,36.34190063,34.97
0,0,1,10.24045052,4,550,5,InVO4,,1,0,0,11.11,0.05,16,0.6,1200,1,0,0,300,41.6437502,2.595942608,35.45066967,50.3
0,0,1,11.34041933,4,550,5,InVO4,,1,0,0,25,0.05,16,0.6,1200,1,0,0,300,57.91295982,2.626254047,34.01842448,48.15
0,0,1,17.79136113,4,550,5,InVO4,,1,0,0,42.86,0.05,16,0.6,1200,1,0,0,300,72.14527106,2.643558495,31.78131594,61.34
