Urea,Melamine,Dcda,PM(g),Time(h),Heat(℃),HR(℃/min),hata,modefiy,dope,ratio(%),load(g),area(cm2),NO(ppm),rate(mL/min),Xe,Wu,LED,Intensity(W),BET(m2/g),Eg(eV),NO2(%),NO(%)
1,0,0,16.0,2.0,550,15.0,0,0,1,5.0,0.2,113.1,0.6,2415.0,0,1,0,300,38.95091697,2.564083068,25.59,45.5
1,0,0,16.0,2.0,550,15.0,0,0,1,10.0,0.2,113.1,0.6,2415.0,0,1,0,300,40.03559461,2.587247124,25.25,54.3
1,0,0,16.0,2.0,550,15.0,0,0,1,1.0,0.2,113.1,0.6,2415.0,0,1,0,150,57.3,2.791671052,12.80658734,48.2
1,0,0,16.0,2.0,550,15.0,0,0,1,3.0,0.2,113.1,0.6,2415.0,0,1,0,150,51.5,2.790702432,12.55579827,55.6
1,0,0,16.0,2.0,550,15.0,0,0,1,5.0,0.2,113.1,0.6,2415.0,0,1,0,150,55.6,2.79198713,12.37750486,60.6
0,1,0,15.0,2.0,550,10.0,1,0,0,2.04,0.4,113.1,0.6,2339.986799,0,1,0,150,66.42116864,2.8,9.34,19.6
0,1,0,15.0,2.0,550,10.0,1,0,0,17.65,0.4,113.1,0.6,2319.727254,0,1,0,150,55.69513672,2.8,7.28,18.5
0,1,0,4.0,4.0,520,6.302306453,0,0,1,1.65,0.05,28.27,0.6,520.8141049,1,0,0,300,7.819620387,2.780068501,39.01034315,55.0
0,1,0,4.0,4.0,520,5.000000143,0,0,1,3.28,0.05,28.27,0.6,1190.258401,1,0,0,300,7.5,2.77,15.8,55.0
0,1,0,4.0,4.0,520,6.285765007,0,0,1,4.93,0.05,28.27,0.6,522.9857362,1,0,0,300,8.939809833,2.772400122,20.96121301,28.0
1,0,0,30.0,4.0,550,15.0,1,0,0,150.0,0.05,28.27,0.6,1548.458501,1,0,0,300,84.428,2.747858081,32.56384941,80.2
0,1,0,4.0,2.0,600,8.768164272,0,0,1,3.75,0.1,99.10399716,0.6,2111.461666,1,0,0,500,52.12147918,2.56,32.40978609,43.98
0,1,0,4.0,2.0,600,9.058731059,0,0,1,2.0,0.1,89.20286119,0.6,2064.316317,1,0,0,500,57.48291083,2.577963094,30.56291533,35.0
0,1,0,4.0,2.0,600,7.965024075,0,0,1,4.78,0.1,89.21126438,0.6,2064.319641,1,0,0,500,57.50574021,2.537192852,30.98269964,53.72
0,1,0,4.0,2.0,600,8.769440479,0,0,1,5.82,0.1,99.11003053,0.6,2209.859205,1,0,0,500,52.12335888,2.51,32.4087715,59.52
0,0,1,10.0,3.0,550,5.0,0,0,0,0.0,0.2,103.87,0.6,2227.308553,0,0,1,15,9.1,2.68,36.1,20.6
0,0,1,10.0,5.0,600,5.0,0,0,0,0.0,0.2,103.87,0.6,2230.408502,0,0,1,15,18.2,2.7,30.99,32.5
0,1,0,10.43206303,3.0,550,5.249714104,0,0,0,0.0,0.02,16.0,0.58,550.0,1,0,0,300,30.77562458,2.73,37.05596962,16.2
0,1,0,25.86270703,3.0,550,12.22973243,1,0,0,930.0,0.02,16.0,0.58,550.0,1,0,0,300,71.25991701,2.63001015,21.07413403,80.3
0,1,0,16.70365324,2.707636861,550,7.619394459,0,1,0,2.0,0.161671688,103.739347,0.561368823,1781.560166,0,1,0,300,50.0,2.52,26.07334196,47.1
0,1,0,16.75775069,2.759833706,550,8.102379907,0,1,0,1.5,0.154052806,101.1181737,0.554418559,1802.139931,0,1,0,300,59.0,2.64,26.06667326,34.9
0,1,0,17.14854186,2.657602773,550,7.270477189,0,1,0,2.5,0.164871667,105.9179565,0.55282645,1799.643022,0,1,0,300,30.0,2.53,25.82635913,34.2
0,1,0,13.90818574,2.852249144,550,8.914536092,0,0,0,0.0,0.139627498,87.42262894,0.550778039,2054.87261,0,1,0,300,9.0,2.5,31.13055639,24.9
1,0,0,10.0,2.0,550,15.0,0,0,1,2.0,0.2,113.1,0.55,2400.0,0,1,0,150,84.0,2.745758045,21.62602922,43.1
1,0,0,10.0,2.0,550,15.0,0,0,1,6.0,0.2,113.1,0.55,2400.0,0,1,0,150,33.0,2.765985083,17.84977314,38.8
0,1,0,2.5,4.0,550,10.0,1,0,0,10.67,0.5,113.1,0.55,2400.0,0,0,1,12,21.47468934,2.628945219,35.08527833,21.44
0,1,0,5.0,4.0,550,10.0,1,0,0,8.12,0.5,113.1,0.55,2400.0,0,0,1,12,13.42,2.699751417,39.5429297,47.18
0,1,0,10.0,4.0,550,10.0,1,0,0,2.64,0.5,113.1,0.55,2400.0,0,0,1,12,25.964346,2.750112909,46.59033398,42.3
0,0,1,10.0,2.0,550,2.5,1,0,0,16.38,0.2,103.6512269,0.55,2405.011141,0,0,1,12,61.93,2.574090742,28.58,34.1
0,0,1,10.0,2.0,550,2.5,1,0,0,40.94,0.2,109.4181055,0.55,1495.41354,0,0,1,12,54.22,2.533560059,27.9,40.1
